,Date,AQI,Sample_Duration,Pollutant_Type
0,1984-12-02,14,24 HOUR,81102
1,1984-12-02,12,24 HOUR,81102
2,1984-12-08,15,24 HOUR,81102
3,1984-12-08,13,24 HOUR,81102
4,1984-12-20,28,24 HOUR,81102
5,1984-12-20,27,24 HOUR,81102
6,1984-12-26,18,24 HOUR,81102
7,1984-12-26,17,24 HOUR,81102
8,1984-12-14,28,24 HOUR,81102
9,1985-01-01,8,24 HOUR,81102
10,1985-01-07,27,24 HOUR,81102
11,1985-01-19,16,24 HOUR,81102
12,1985-01-25,19,24 HOUR,81102
13,1985-01-25,21,24 HOUR,81102
14,1985-02-06,18,24 HOUR,81102
15,1985-02-06,19,24 HOUR,81102
16,1985-02-12,6,24 HOUR,81102
17,1985-02-12,14,24 HOUR,81102
18,1985-03-02,29,24 HOUR,81102
19,1985-03-02,26,24 HOUR,81102
20,1985-03-08,31,24 HOUR,81102
21,1985-03-08,31,24 HOUR,81102
22,1985-03-20,33,24 HOUR,81102
23,1985-03-20,48,24 HOUR,81102
24,1985-03-26,36,24 HOUR,81102
25,1985-03-26,35,24 HOUR,81102
26,1985-04-01,15,24 HOUR,81102
27,1985-04-01,16,24 HOUR,81102
28,1985-04-07,16,24 HOUR,81102
29,1985-04-13,13,24 HOUR,81102
30,1985-04-13,15,24 HOUR,81102
31,1985-04-19,27,24 HOUR,81102
32,1985-04-19,27,24 HOUR,81102
33,1985-05-01,25,24 HOUR,81102
34,1985-05-01,28,24 HOUR,81102
35,1985-05-07,20,24 HOUR,81102
36,1985-05-07,21,24 HOUR,81102
37,1985-05-13,6,24 HOUR,81102
38,1985-05-13,6,24 HOUR,81102
39,1985-05-19,1,24 HOUR,81102
40,1985-05-19,5,24 HOUR,81102
41,1985-05-25,13,24 HOUR,81102
42,1985-05-25,12,24 HOUR,81102
43,1985-05-31,22,24 HOUR,81102
44,1985-05-31,23,24 HOUR,81102
45,1985-06-06,19,24 HOUR,81102
46,1985-06-06,22,24 HOUR,81102
47,1985-06-12,3,24 HOUR,81102
48,1985-06-12,6,24 HOUR,81102
49,1985-06-30,25,24 HOUR,81102
50,1985-06-30,22,24 HOUR,81102
51,1985-07-06,32,24 HOUR,81102
52,1985-07-06,31,24 HOUR,81102
53,1985-07-12,26,24 HOUR,81102
54,1985-07-12,26,24 HOUR,81102
55,1985-07-18,23,24 HOUR,81102
56,1985-07-18,22,24 HOUR,81102
57,1985-07-24,25,24 HOUR,81102
58,1985-07-24,24,24 HOUR,81102
59,1985-07-30,19,24 HOUR,81102
60,1985-07-30,17,24 HOUR,81102
61,1985-08-11,25,24 HOUR,81102
62,1985-08-11,25,24 HOUR,81102
63,1985-08-23,26,24 HOUR,81102
64,1985-08-23,26,24 HOUR,81102
65,1985-08-29,28,24 HOUR,81102
66,1985-08-29,31,24 HOUR,81102
67,1985-09-04,56,24 HOUR,81102
68,1985-09-04,30,24 HOUR,81102
69,1985-09-10,32,24 HOUR,81102
70,1985-09-10,32,24 HOUR,81102
71,1985-09-16,23,24 HOUR,81102
72,1985-09-16,21,24 HOUR,81102
73,1985-09-22,17,24 HOUR,81102
74,1985-09-22,17,24 HOUR,81102
75,1985-09-28,19,24 HOUR,81102
76,1985-09-28,19,24 HOUR,81102
77,1985-10-04,22,24 HOUR,81102
78,1985-10-04,22,24 HOUR,81102
79,1985-10-10,36,24 HOUR,81102
80,1985-10-10,35,24 HOUR,81102
81,1985-10-16,29,24 HOUR,81102
82,1985-10-16,30,24 HOUR,81102
83,1985-10-22,45,24 HOUR,81102
84,1985-10-22,44,24 HOUR,81102
85,1985-10-28,28,24 HOUR,81102
86,1985-10-28,28,24 HOUR,81102
87,1985-11-03,11,24 HOUR,81102
88,1985-11-03,11,24 HOUR,81102
89,1985-11-09,14,24 HOUR,81102
90,1985-11-09,11,24 HOUR,81102
91,1985-11-15,12,24 HOUR,81102
92,1985-11-15,14,24 HOUR,81102
93,1985-11-21,21,24 HOUR,81102
94,1985-11-21,19,24 HOUR,81102
95,1985-11-27,18,24 HOUR,81102
96,1985-11-27,15,24 HOUR,81102
97,1985-12-03,10,24 HOUR,81102
98,1985-12-03,9,24 HOUR,81102
99,1985-12-09,17,24 HOUR,81102
100,1985-12-09,14,24 HOUR,81102
101,1985-12-15,12,24 HOUR,81102
102,1985-12-15,16,24 HOUR,81102
103,1985-12-21,10,24 HOUR,81102
104,1985-12-21,11,24 HOUR,81102
105,1985-12-27,27,24 HOUR,81102
106,1985-12-27,27,24 HOUR,81102
107,1985-02-18,18,24 HOUR,81102
108,1985-02-24,10,24 HOUR,81102
109,1985-03-14,34,24 HOUR,81102
110,1985-06-18,17,24 HOUR,81102
111,1985-06-24,25,24 HOUR,81102
112,1985-08-17,24,24 HOUR,81102
113,1986-01-02,11,24 HOUR,81102
114,1986-01-02,11,24 HOUR,81102
115,1986-01-08,14,24 HOUR,81102
116,1986-01-08,14,24 HOUR,81102
117,1986-01-14,20,24 HOUR,81102
118,1986-01-14,21,24 HOUR,81102
119,1986-01-20,8,24 HOUR,81102
120,1986-01-20,8,24 HOUR,81102
121,1986-01-26,13,24 HOUR,81102
122,1986-01-26,13,24 HOUR,81102
123,1986-02-01,11,24 HOUR,81102
124,1986-02-01,12,24 HOUR,81102
125,1986-02-07,13,24 HOUR,81102
126,1986-02-07,13,24 HOUR,81102
127,1986-02-13,11,24 HOUR,81102
128,1986-02-13,11,24 HOUR,81102
129,1986-02-19,11,24 HOUR,81102
130,1986-02-19,11,24 HOUR,81102
131,1986-02-25,13,24 HOUR,81102
132,1986-02-25,13,24 HOUR,81102
133,1986-03-03,9,24 HOUR,81102
134,1986-03-03,8,24 HOUR,81102
135,1986-03-09,6,24 HOUR,81102
136,1986-03-09,6,24 HOUR,81102
137,1986-03-15,6,24 HOUR,81102
138,1986-03-15,6,24 HOUR,81102
139,1986-03-21,12,24 HOUR,81102
140,1986-03-21,12,24 HOUR,81102
141,1986-03-27,28,24 HOUR,81102
142,1986-03-27,28,24 HOUR,81102
143,1986-04-02,33,24 HOUR,81102
144,1986-04-02,29,24 HOUR,81102
145,1986-04-08,13,24 HOUR,81102
146,1986-04-08,13,24 HOUR,81102
147,1986-04-14,7,24 HOUR,81102
148,1986-04-14,8,24 HOUR,81102
149,1986-04-20,7,24 HOUR,81102
150,1986-04-20,7,24 HOUR,81102
151,1986-04-26,6,24 HOUR,81102
152,1986-04-26,5,24 HOUR,81102
153,1986-05-02,25,24 HOUR,81102
154,1986-05-02,25,24 HOUR,81102
155,1986-05-08,5,24 HOUR,81102
156,1986-05-08,4,24 HOUR,81102
157,1986-05-14,17,24 HOUR,81102
158,1986-05-14,16,24 HOUR,81102
159,1986-05-20,19,24 HOUR,81102
160,1986-05-20,19,24 HOUR,81102
161,1986-05-26,11,24 HOUR,81102
162,1986-05-26,11,24 HOUR,81102
163,1986-06-01,17,24 HOUR,81102
164,1986-06-01,17,24 HOUR,81102
165,1986-06-07,15,24 HOUR,81102
166,1986-06-07,15,24 HOUR,81102
167,1986-06-13,26,24 HOUR,81102
168,1986-06-13,24,24 HOUR,81102
169,1986-06-19,16,24 HOUR,81102
170,1986-06-19,25,24 HOUR,81102
171,1986-06-25,24,24 HOUR,81102
172,1986-06-25,26,24 HOUR,81102
173,1986-07-01,23,24 HOUR,81102
174,1986-07-01,23,24 HOUR,81102
175,1986-07-07,16,24 HOUR,81102
176,1986-07-13,14,24 HOUR,81102
177,1986-07-13,13,24 HOUR,81102
178,1986-07-19,16,24 HOUR,81102
179,1986-07-19,16,24 HOUR,81102
180,1986-07-25,19,24 HOUR,81102
181,1986-07-31,35,24 HOUR,81102
182,1986-07-31,31,24 HOUR,81102
183,1986-08-06,23,24 HOUR,81102
184,1986-08-06,25,24 HOUR,81102
185,1986-08-12,24,24 HOUR,81102
186,1986-08-12,25,24 HOUR,81102
187,1986-08-18,29,24 HOUR,81102
188,1986-08-18,26,24 HOUR,81102
189,1986-08-24,20,24 HOUR,81102
190,1986-08-24,17,24 HOUR,81102
191,1986-08-30,9,24 HOUR,81102
192,1986-08-30,9,24 HOUR,81102
193,1986-09-05,17,24 HOUR,81102
194,1986-09-05,17,24 HOUR,81102
195,1986-09-11,20,24 HOUR,81102
196,1986-09-11,21,24 HOUR,81102
197,1986-09-23,12,24 HOUR,81102
198,1986-09-23,14,24 HOUR,81102
199,1986-09-29,13,24 HOUR,81102
200,1986-09-29,12,24 HOUR,81102
201,1986-10-05,7,24 HOUR,81102
202,1986-10-05,6,24 HOUR,81102
203,1986-10-11,6,24 HOUR,81102
204,1986-10-11,6,24 HOUR,81102
205,1986-10-17,29,24 HOUR,81102
206,1986-10-17,30,24 HOUR,81102
207,1986-10-23,6,24 HOUR,81102
208,1986-10-29,25,24 HOUR,81102
209,1986-11-04,12,24 HOUR,81102
210,1986-11-10,22,24 HOUR,81102
211,1986-11-16,13,24 HOUR,81102
212,1986-11-16,13,24 HOUR,81102
213,1986-11-22,5,24 HOUR,81102
214,1986-11-22,5,24 HOUR,81102
215,1986-11-28,13,24 HOUR,81102
216,1986-11-28,14,24 HOUR,81102
217,1986-12-04,32,24 HOUR,81102
218,1986-12-04,33,24 HOUR,81102
219,1986-12-10,7,24 HOUR,81102
220,1986-12-10,8,24 HOUR,81102
221,1986-12-16,12,24 HOUR,81102
222,1986-12-22,19,24 HOUR,81102
223,1986-12-22,19,24 HOUR,81102
224,1986-12-28,20,24 HOUR,81102
225,1986-12-28,19,24 HOUR,81102
226,1986-09-17,18,24 HOUR,81102
227,1987-01-03,25,24 HOUR,81102
228,1987-01-03,24,24 HOUR,81102
229,1987-01-09,21,24 HOUR,81102
230,1987-01-09,16,24 HOUR,81102
231,1987-01-15,19,24 HOUR,81102
232,1987-01-15,19,24 HOUR,81102
233,1987-01-21,17,24 HOUR,81102
234,1987-01-21,20,24 HOUR,81102
235,1987-01-27,21,24 HOUR,81102
236,1987-01-27,20,24 HOUR,81102
237,1987-02-02,22,24 HOUR,81102
238,1987-02-02,21,24 HOUR,81102
239,1987-02-08,24,24 HOUR,81102
240,1987-02-08,23,24 HOUR,81102
241,1987-02-14,22,24 HOUR,81102
242,1987-02-14,19,24 HOUR,81102
243,1987-02-20,24,24 HOUR,81102
244,1987-02-20,24,24 HOUR,81102
245,1987-02-26,20,24 HOUR,81102
246,1987-02-26,19,24 HOUR,81102
247,1987-05-09,32,24 HOUR,81102
248,1987-05-09,28,24 HOUR,81102
249,1987-05-15,36,24 HOUR,81102
250,1987-05-15,33,24 HOUR,81102
251,1987-05-21,18,24 HOUR,81102
252,1987-05-21,16,24 HOUR,81102
253,1987-05-27,27,24 HOUR,81102
254,1987-05-27,25,24 HOUR,81102
255,1987-06-02,26,24 HOUR,81102
256,1987-06-02,24,24 HOUR,81102
257,1987-06-08,29,24 HOUR,81102
258,1987-06-08,28,24 HOUR,81102
259,1987-06-14,31,24 HOUR,81102
260,1987-06-14,29,24 HOUR,81102
261,1987-06-20,31,24 HOUR,81102
262,1987-06-20,27,24 HOUR,81102
263,1987-06-26,36,24 HOUR,81102
264,1987-06-26,35,24 HOUR,81102
265,1987-07-02,30,24 HOUR,81102
266,1987-07-02,28,24 HOUR,81102
267,1987-07-08,34,24 HOUR,81102
268,1987-07-08,35,24 HOUR,81102
269,1987-07-14,29,24 HOUR,81102
270,1987-07-20,31,24 HOUR,81102
271,1987-07-20,31,24 HOUR,81102
272,1987-07-26,37,24 HOUR,81102
273,1987-07-26,37,24 HOUR,81102
274,1987-08-01,31,24 HOUR,81102
275,1987-08-01,31,24 HOUR,81102
276,1987-08-07,29,24 HOUR,81102
277,1987-08-07,31,24 HOUR,81102
278,1987-08-13,30,24 HOUR,81102
279,1987-08-13,30,24 HOUR,81102
280,1987-08-19,34,24 HOUR,81102
281,1987-08-19,34,24 HOUR,81102
282,1987-08-25,30,24 HOUR,81102
283,1987-08-25,26,24 HOUR,81102
284,1987-08-31,32,24 HOUR,81102
285,1987-08-31,33,24 HOUR,81102
286,1987-09-06,31,24 HOUR,81102
287,1987-09-06,29,24 HOUR,81102
288,1987-09-12,31,24 HOUR,81102
289,1987-09-12,31,24 HOUR,81102
290,1987-09-18,18,24 HOUR,81102
291,1987-09-24,18,24 HOUR,81102
292,1987-09-24,16,24 HOUR,81102
293,1987-09-30,20,24 HOUR,81102
294,1987-09-30,20,24 HOUR,81102
295,1987-10-06,25,24 HOUR,81102
296,1987-10-06,25,24 HOUR,81102
297,1987-10-12,30,24 HOUR,81102
298,1987-10-12,28,24 HOUR,81102
299,1987-10-18,22,24 HOUR,81102
300,1987-10-18,20,24 HOUR,81102
301,1987-10-24,35,24 HOUR,81102
302,1987-10-24,36,24 HOUR,81102
303,1987-10-30,21,24 HOUR,81102
304,1987-10-30,19,24 HOUR,81102
305,1987-11-05,25,24 HOUR,81102
306,1987-11-05,24,24 HOUR,81102
307,1987-11-11,11,24 HOUR,81102
308,1987-11-17,25,24 HOUR,81102
309,1987-11-17,10,24 HOUR,81102
310,1987-11-23,39,24 HOUR,81102
311,1987-11-23,34,24 HOUR,81102
312,1987-11-29,27,24 HOUR,81102
313,1987-11-29,25,24 HOUR,81102
314,1987-12-05,30,24 HOUR,81102
315,1987-12-05,28,24 HOUR,81102
316,1987-12-11,26,24 HOUR,81102
317,1987-12-11,24,24 HOUR,81102
318,1987-12-17,45,24 HOUR,81102
319,1987-12-17,43,24 HOUR,81102
320,1987-12-23,23,24 HOUR,81102
321,1987-12-23,17,24 HOUR,81102
322,1987-12-29,35,24 HOUR,81102
323,1987-12-29,31,24 HOUR,81102
324,1988-01-04,27,24 HOUR,81102
325,1988-01-04,22,24 HOUR,81102
326,1988-01-10,6,24 HOUR,81102
327,1988-01-10,6,24 HOUR,81102
328,1988-01-16,12,24 HOUR,81102
329,1988-01-16,10,24 HOUR,81102
330,1988-01-22,9,24 HOUR,81102
331,1988-01-22,7,24 HOUR,81102
332,1988-01-28,14,24 HOUR,81102
333,1988-01-28,11,24 HOUR,81102
334,1988-02-03,20,24 HOUR,81102
335,1988-02-03,19,24 HOUR,81102
336,1988-02-09,16,24 HOUR,81102
337,1988-02-09,15,24 HOUR,81102
338,1988-02-15,9,24 HOUR,81102
339,1988-02-15,8,24 HOUR,81102
340,1988-02-21,7,24 HOUR,81102
341,1988-02-21,7,24 HOUR,81102
342,1988-02-27,16,24 HOUR,81102
343,1988-02-27,11,24 HOUR,81102
344,1988-03-04,4,24 HOUR,81102
345,1988-03-04,3,24 HOUR,81102
346,1988-03-10,6,24 HOUR,81102
347,1988-03-10,3,24 HOUR,81102
348,1988-03-16,9,24 HOUR,81102
349,1988-03-16,8,24 HOUR,81102
350,1988-03-22,12,24 HOUR,81102
351,1988-03-22,12,24 HOUR,81102
352,1988-03-28,12,24 HOUR,81102
353,1988-03-28,10,24 HOUR,81102
354,1988-04-03,7,24 HOUR,81102
355,1988-04-03,7,24 HOUR,81102
356,1988-04-09,8,24 HOUR,81102
357,1988-04-09,7,24 HOUR,81102
358,1988-04-15,34,24 HOUR,81102
359,1988-04-15,33,24 HOUR,81102
360,1988-04-21,12,24 HOUR,81102
361,1988-04-21,13,24 HOUR,81102
362,1988-04-27,12,24 HOUR,81102
363,1988-04-27,13,24 HOUR,81102
364,1988-05-03,10,24 HOUR,81102
365,1988-05-03,10,24 HOUR,81102
366,1988-05-09,16,24 HOUR,81102
367,1988-05-15,19,24 HOUR,81102
368,1988-05-21,12,24 HOUR,81102
369,1988-05-21,12,24 HOUR,81102
370,1988-05-27,24,24 HOUR,81102
371,1988-05-27,23,24 HOUR,81102
372,1988-06-02,13,24 HOUR,81102
373,1988-06-02,12,24 HOUR,81102
374,1988-06-08,26,24 HOUR,81102
375,1988-06-08,24,24 HOUR,81102
376,1988-06-14,12,24 HOUR,81102
377,1988-06-14,10,24 HOUR,81102
378,1988-06-20,25,24 HOUR,81102
379,1988-06-20,25,24 HOUR,81102
380,1988-06-26,37,24 HOUR,81102
381,1988-06-26,37,24 HOUR,81102
382,1988-07-02,22,24 HOUR,81102
383,1988-07-02,21,24 HOUR,81102
384,1988-07-08,17,24 HOUR,81102
385,1988-07-08,17,24 HOUR,81102
386,1988-07-14,25,24 HOUR,81102
387,1988-07-14,25,24 HOUR,81102
388,1988-07-20,20,24 HOUR,81102
389,1988-07-20,22,24 HOUR,81102
390,1988-07-26,19,24 HOUR,81102
391,1988-07-26,18,24 HOUR,81102
392,1988-08-01,16,24 HOUR,81102
393,1988-08-01,14,24 HOUR,81102
394,1988-08-07,8,24 HOUR,81102
395,1988-08-07,8,24 HOUR,81102
396,1988-08-13,10,24 HOUR,81102
397,1988-08-13,10,24 HOUR,81102
398,1988-08-19,24,24 HOUR,81102
399,1988-08-19,24,24 HOUR,81102
400,1988-08-19,24,24 HOUR,81102
401,1988-08-19,24,24 HOUR,81102
402,1988-08-25,40,24 HOUR,81102
403,1988-08-25,40,24 HOUR,81102
404,1988-08-25,39,24 HOUR,81102
405,1988-08-25,39,24 HOUR,81102
406,1988-08-31,25,24 HOUR,81102
407,1988-08-31,25,24 HOUR,81102
408,1988-08-31,25,24 HOUR,81102
409,1988-08-31,25,24 HOUR,81102
410,1988-09-06,52,24 HOUR,81102
411,1988-09-06,52,24 HOUR,81102
412,1988-09-06,48,24 HOUR,81102
413,1988-09-06,48,24 HOUR,81102
414,1988-09-12,6,24 HOUR,81102
415,1988-09-18,18,24 HOUR,81102
416,1988-09-18,19,24 HOUR,81102
417,1988-09-24,22,24 HOUR,81102
418,1988-09-24,19,24 HOUR,81102
419,1988-09-30,12,24 HOUR,81102
420,1988-09-30,10,24 HOUR,81102
421,1988-10-06,20,24 HOUR,81102
422,1988-10-06,19,24 HOUR,81102
423,1988-10-12,18,24 HOUR,81102
424,1988-10-12,17,24 HOUR,81102
425,1988-10-18,23,24 HOUR,81102
426,1988-10-18,20,24 HOUR,81102
427,1988-10-24,18,24 HOUR,81102
428,1988-10-24,16,24 HOUR,81102
429,1988-10-30,17,24 HOUR,81102
430,1988-10-30,14,24 HOUR,81102
431,1988-11-05,10,24 HOUR,81102
432,1988-11-05,6,24 HOUR,81102
433,1988-11-11,17,24 HOUR,81102
434,1988-11-11,13,24 HOUR,81102
435,1988-11-17,21,24 HOUR,81102
436,1988-11-17,18,24 HOUR,81102
437,1991-02-16,10,24 HOUR,81102
438,1991-02-20,7,24 HOUR,81102
439,1991-02-23,16,24 HOUR,81102
440,1991-02-27,13,24 HOUR,81102
441,1991-03-01,10,24 HOUR,81102
442,1991-03-05,6,24 HOUR,81102
443,1991-03-07,7,24 HOUR,81102
444,1991-03-11,14,24 HOUR,81102
445,1991-03-13,10,24 HOUR,81102
446,1991-03-17,11,24 HOUR,81102
447,1991-03-19,52,24 HOUR,81102
448,1991-03-21,15,24 HOUR,81102
449,1991-03-25,13,24 HOUR,81102
450,1991-03-31,18,24 HOUR,81102
451,1991-04-02,19,24 HOUR,81102
452,1991-04-04,14,24 HOUR,81102
453,1991-04-06,15,24 HOUR,81102
454,1991-04-09,9,24 HOUR,81102
455,1991-04-12,7,24 HOUR,81102
456,1991-04-16,25,24 HOUR,81102
457,1991-04-20,20,24 HOUR,81102
458,1991-04-24,19,24 HOUR,81102
459,1991-04-26,11,24 HOUR,81102
460,1991-04-30,7,24 HOUR,81102
461,1991-05-02,17,24 HOUR,81102
462,1991-05-06,14,24 HOUR,81102
463,1991-05-08,19,24 HOUR,81102
464,1991-05-12,17,24 HOUR,81102
465,1991-05-14,33,24 HOUR,81102
466,1991-05-16,12,24 HOUR,81102
467,1991-05-18,18,24 HOUR,81102
468,1991-05-21,27,24 HOUR,81102
469,1991-05-24,17,24 HOUR,81102
470,1991-05-30,24,24 HOUR,81102
471,1991-06-01,18,24 HOUR,81102
472,1991-06-05,26,24 HOUR,81102
473,1991-06-07,19,24 HOUR,81102
474,1991-06-11,19,24 HOUR,81102
475,1991-06-13,20,24 HOUR,81102
476,1991-06-17,28,24 HOUR,81102
477,1991-06-19,42,24 HOUR,81102
478,1991-06-23,26,24 HOUR,81102
479,1991-06-25,36,24 HOUR,81102
480,1991-06-29,32,24 HOUR,81102
481,1991-07-02,21,24 HOUR,81102
482,1991-07-05,28,24 HOUR,81102
483,1991-07-11,19,24 HOUR,81102
484,1991-07-13,22,24 HOUR,81102
485,1991-07-17,23,24 HOUR,81102
486,1991-07-20,17,24 HOUR,81102
487,1991-07-23,20,24 HOUR,81102
488,1991-07-29,36,24 HOUR,81102
489,1991-08-04,19,24 HOUR,81102
490,1991-08-10,21,24 HOUR,81102
491,1991-08-16,15,24 HOUR,81102
492,1991-08-22,18,24 HOUR,81102
493,1991-08-28,19,24 HOUR,81102
494,1991-09-03,31,24 HOUR,81102
495,1991-09-09,17,24 HOUR,81102
496,1991-09-15,8,24 HOUR,81102
497,1991-09-21,23,24 HOUR,81102
498,1991-09-27,23,24 HOUR,81102
499,1991-10-03,19,24 HOUR,81102
500,1991-10-09,15,24 HOUR,81102
501,1991-10-15,17,24 HOUR,81102
502,1991-10-21,23,24 HOUR,81102
503,1991-10-27,28,24 HOUR,81102
504,1991-11-02,12,24 HOUR,81102
505,1991-11-08,22,24 HOUR,81102
506,1991-11-14,10,24 HOUR,81102
507,1991-11-20,14,24 HOUR,81102
508,1991-11-26,11,24 HOUR,81102
509,1991-12-02,9,24 HOUR,81102
510,1991-12-08,6,24 HOUR,81102
511,1991-12-14,13,24 HOUR,81102
512,1991-12-20,19,24 HOUR,81102
513,1991-12-26,18,24 HOUR,81102
514,1992-01-01,7,24 HOUR,81102
515,1992-01-07,16,24 HOUR,81102
516,1992-01-13,9,24 HOUR,81102
517,1992-01-19,14,24 HOUR,81102
518,1992-01-25,19,24 HOUR,81102
519,1992-01-31,12,24 HOUR,81102
520,1992-02-06,12,24 HOUR,81102
521,1992-02-12,19,24 HOUR,81102
522,1992-02-18,4,24 HOUR,81102
523,1992-02-24,7,24 HOUR,81102
